id,SalePrice
1461,120399.14
1462,154486.48
1463,185405.72
1464,191769.0
1465,188999.44
1466,173627.38
1467,173757.73
1468,164705.44
1469,190572.28
1470,122926.125
1471,190987.3
1472,93183.09
1473,97972.72
1474,152117.92
1475,126755.46
1476,371300.97
1477,250511.22
1478,272469.97
1479,290385.78
1480,498698.78
1481,343349.03
1482,196347.4
1483,162426.16
1484,160593.39
1485,177510.9
1486,189022.16
1487,352808.84
1488,227240.56
1489,195083.03
1490,202333.4
1491,189706.06
1492,93112.29
1493,187062.62
1494,305582.75
1495,300727.22
1496,238908.38
1497,178099.81
1498,156517.11
1499,155699.03
1500,133479.05
1501,177498.88
1502,144444.03
1503,284762.4
1504,241402.73
1505,227201.77
1506,192368.89
1507,249595.02
1508,206538.69
1509,168983.52
1510,145339.58
1511,141682.38
1512,170238.4
1513,151261.66
1514,163641.55
1515,207568.66
1516,160646.53
1517,161208.25
1518,135506.98
1519,206747.0
1520,132276.08
1521,131577.67
1522,176027.56
1523,111366.43
1524,123891.8
1525,124119.445
1526,123117.25
1527,103437.836
1528,130033.695
1529,148592.11
1530,175960.6
1531,105037.91
1532,98351.3
1533,133767.69
1534,125302.96
1535,148376.3
1536,107478.7
1537,70581.16
1538,147774.16
1539,184195.84
1540,85514.75
1541,138204.55
1542,136389.52
1543,217353.03
1544,75546.53
1545,109104.95
1546,125561.34
1547,125054.53
1548,128357.67
1549,112281.44
1550,140853.4
1551,114005.05
1552,142075.98
1553,153835.77
1554,117676.83
1555,165751.56
1556,81568.82
1557,107702.38
1558,86164.0
1559,62473.863
1560,135302.05
1561,141076.98
1562,128059.33
1563,119093.84
1564,158003.52
1565,147557.84
1566,232364.47
1567,73459.63
1568,226160.2
1569,133781.97
1570,133092.75
1571,122122.91
1572,147183.02
1573,244244.38
1574,114877.836
1575,221910.05
1576,223667.58
1577,183303.34
1578,144978.81
1579,148932.45
1580,195946.16
1581,142422.73
1582,129477.21
1583,324477.56
1584,214517.78
1585,142186.72
1586,72252.555
1587,101617.83
1588,149266.05
1589,98816.69
1590,136320.6
1591,99131.195
1592,110757.41
1593,133008.88
1594,129116.29
1595,110835.07
1596,240846.02
1597,185408.03
1598,213517.28
1599,185496.81
1600,173145.84
1601,72033.35
1602,113790.734
1603,70128.86
1604,266496.78
1605,249980.22
1606,170153.52
1607,164102.89
1608,200173.44
1609,187736.92
1610,140978.39
1611,141413.2
1612,163630.16
1613,152898.52
1614,122879.125
1615,86496.46
1616,73268.766
1617,93327.61
1618,123143.31
1619,143023.8
1620,160833.4
1621,136003.1
1622,139938.12
1623,273268.38
1624,208721.75
1625,128694.5
1626,166329.39
1627,183117.97
1628,272903.5
1629,183954.81
1630,349042.84
1631,225268.61
1632,242264.14
1633,163741.94
1634,186337.6
1635,182240.27
1636,153513.5
1637,191563.72
1638,192286.53
1639,186573.9
1640,254000.89
1641,181775.94
1642,222907.58
1643,228720.1
1644,225592.81
1645,192322.47
1646,158211.44
1647,165982.05
1648,132526.72
1649,134685.64
1650,120749.164
1651,119133.83
1652,95259.43
1653,95815.766
1654,153555.95
1655,149885.42
1656,145234.55
1657,153194.67
1658,143211.06
1659,131725.58
1660,151868.89
1661,416508.62
1662,410804.72
1663,385145.0
1664,229312.4
1665,283484.25
1666,328310.88
1667,336771.62
1668,313542.4
1669,289153.53
1670,352804.12
1671,244989.95
1672,444112.62
1673,296520.34
1674,238364.23
1675,169621.77
1676,169465.58
1677,203479.56
1678,457691.44
1679,389629.97
1680,322559.44
1681,243608.6
1682,324278.97
1683,172602.12
1684,169585.86
1685,167257.55
1686,162574.31
1687,165319.02
1688,188535.53
1689,198675.72
1690,201021.31
1691,179276.16
1692,277045.97
1693,164441.44
1694,186438.73
1695,168287.31
1696,302245.88
1697,173515.14
1698,391667.8
1699,303096.53
1700,233988.69
1701,272898.56
1702,236875.84
1703,245728.2
1704,266091.44
1705,225188.92
1706,370680.38
1707,209028.12
1708,191135.25
1709,285771.72
1710,207177.47
1711,244356.67
1712,270182.3
1713,258163.77
1714,220353.48
1715,204380.2
1716,180844.3
1717,170525.03
1718,136350.23
1719,202478.19
1720,245332.47
1721,169903.97
1722,128915.37
1723,154763.12
1724,201832.34
1725,234920.62
1726,176570.97
1727,148604.44
1728,178453.62
1729,162843.69
