id,SalePrice
1461,115133.18411155228
1462,146248.05700117318
1463,170299.31114083366
1464,194333.589050995
1465,197026.94820693036
1466,170108.2064484692
1467,182590.4541245766
1468,163132.47454776315
1469,186143.95176200423
1470,125322.31068633735
1471,181616.4490479011
1472,101825.2698941334
1473,95693.30092716185
1474,143335.77978464845
1475,115403.67560458262
1476,351411.1010706667
1477,247846.81703825484
1478,299054.6994605289
1479,304059.05769794754
1480,479868.4115750821
1481,327763.4355750221
1482,217468.86214249922
1483,170404.68998603435
1484,168719.9998210481
1485,196441.15629208274
1486,190793.02897300234
1487,344569.33203415154
1488,236501.4728502578
1489,187551.50727136002
1490,234681.97633444643
1491,192529.34647149884
1492,90518.20896897803
1493,192713.9617946575
1494,285173.56448527414
1495,279580.8314696272
1496,234066.4050350898
1497,176530.01436195956
1498,182313.52003385982
1499,168192.7810082006
1500,160146.37873908287
1501,169674.3688314269
1502,154273.83506407583
1503,274752.2518618141
1504,250524.06441057817
1505,228644.44861555222
1506,190035.81129841536
1507,243438.3453907651
1508,197746.23561925016
1509,153787.72445449018
1510,143016.5456774329
1511,159387.42250769475
1512,169735.88978158473
1513,150568.18473681327
1514,149594.36510551884
1515,185273.96572822685
1516,149304.88249674658
1517,164071.2903203415
1518,130002.93648358305
1519,203681.8123343038
1520,130591.91311106947
1521,125604.37942158006
1522,168946.2483108688
1523,112821.03583824096
1524,118968.54485885444
1525,115877.634309213
1526,108044.99072824302
1527,109729.48950388354
1528,136619.24898873453
1529,149232.01555058968
1530,213127.04788071688
1531,119687.3113456643
1532,101163.57141467906
1533,143166.00805046546
1534,127144.0319720048
1535,134623.71468413452
1536,105923.58379169485
1537,58322.978269650055
1538,145095.34354361682
1539,181287.31337989768
1540,86785.43077909929
1541,129126.207744863
1542,130403.92289111111
1543,171856.74613730004
1544,92081.83998574434
1545,119993.39498587645
1546,139016.9816160644
1547,129724.15070944218
1548,138502.40213966303
1549,126700.49621005871
1550,136239.89648989387
1551,105911.76801458634
1552,144354.8989340976
1553,133768.9072094056
1554,124731.107978262
1555,148967.4396662787
1556,86433.90731748551
1557,96868.70050257741
1558,107687.88259712493
1559,68457.63419052327
1560,130899.21395082191
1561,112762.72639596608
1562,135984.7024142444
1563,121118.32342483912
1564,155298.7051432072
1565,142067.32826087732
1566,232512.87231329174
